1000,0.383151,-1.288799
1113.025635,0.348232,-1.264716
1238.826172,0.314811,-1.232993
1378.845215,0.284578,-1.203296
1534.690186,0.258723,-1.165826
1708.149536,0.233039,-1.124874
1901.214233,0.214549,-1.07897
2116.100098,0.192071,-1.03515
2355.273926,0.178218,-0.97128
2621.480225,0.163108,-0.915985
2917.774658,0.148213,-0.853218
3247.558105,0.137911,-0.775626
3614.615479,0.128017,-0.688422
4023.159668,0.118854,-0.626441
4477.879883,0.114141,-0.517075
4983.995605,0.105442,-0.436883
5547.314941,0.103744,-0.330437
6174.303711,0.099976,-0.235983
6872.158203,0.096465,-0.133359
7648.888672,0.095939,-0.005556
8513.40918,0.097285,0.099411
9475.642578,0.098832,0.20968
10546.633789,0.100549,0.325807
11738.673828,0.106456,0.430966
13065.445312,0.110614,0.506822
14542.175781,0.116614,0.629038
16185.814453,0.126143,0.690384
18015.226562,0.136071,0.771626
20051.410156,0.147885,0.854295
22317.734375,0.159366,0.933663
24840.210938,0.175431,0.986579
27647.791016,0.192002,1.044119
30772.701172,0.212042,1.090782
34250.804688,0.232725,1.14099
38122.027344,0.254554,1.178221
42430.792969,0.283796,1.214566
47226.5625,0.315519,1.253795
52564.375,0.348138,1.288981
58505.496094,0.387898,1.312419
65118.117188,0.429214,1.338241
72478.140625,0.476498,1.355137
80670.023438,0.529649,1.380471
89787.8125,0.588557,1.395239
99936.132812,0.651217,1.411526
111231.484375,0.72774,1.425548
123803.492188,0.809384,1.443543
137796.46875,0.903011,1.4504
153371,1.003754,1.459937
170705.859375,1.116139,1.475324
190000,1.249953,1.472328
