10000,34.419617,-1.542603
10619.327148,32.336658,-1.541113
11277.011719,30.367737,-1.539578
11975.427734,28.501917,-1.537752
12717.098633,26.746063,-1.535778
13504.704102,25.081881,-1.533719
14341.086914,23.518221,-1.531452
15229.269531,22.021759,-1.529054
16172.460938,20.611195,-1.526405
17174.064453,19.279142,-1.523628
18237.703125,18.013151,-1.520545
19367.212891,16.813671,-1.517101
20566.677734,15.671019,-1.513371
21840.429688,14.589277,-1.509513
23193.066406,13.556498,-1.504846
24629.476562,12.573861,-1.499624
26154.847656,11.635601,-1.494306
27774.689453,10.743174,-1.487801
29494.851562,9.8865,-1.480736
31321.548828,9.065327,-1.472704
33261.378906,8.278828,-1.463141
35321.347656,7.523468,-1.45265
37508.894531,6.795502,-1.439822
39831.921875,6.092508,-1.424433
42298.824219,5.411378,-1.405444
44918.507812,4.755531,-1.38235
47700.433594,4.115417,-1.35212
50654.652344,3.498715,-1.311393
53791.832031,2.898993,-1.255587
57123.308594,2.325781,-1.171705
60661.113281,1.784674,-1.038632
64418.019531,1.306704,-0.796677
68407.609375,0.975227,-0.353117
72644.273438,0.955561,0.274649
77143.335938,1.261765,0.746807
81921.03125,1.731992,1.002857
86994.632812,2.264145,1.144221
92382.445312,2.838441,1.230399
98103.945312,3.431222,1.289421
104179.789062,4.047849,1.331468
110631.929688,4.682988,1.361524
117483.671875,5.339228,1.38511
124759.757812,6.015809,1.404952
132486.46875,6.710521,1.420297
140691.71875,7.441287,1.432935
149405.140625,8.195642,1.444216
158658.21875,8.973224,1.453699
168484.359375,9.792969,1.461401
178919.046875,10.65007,1.468144
190000,11.557943,1.473961
