100,16.363834,-1.491921
115.005249,14.214297,-1.484414
132.26207,12.452754,-1.481403
152.108322,10.917689,-1.47491
174.932556,9.550706,-1.467589
201.181625,8.364381,-1.460821
231.369415,7.311776,-1.452553
266.086975,6.400698,-1.442006
306.013977,5.604279,-1.432142
351.932129,4.906418,-1.422016
404.740448,4.296866,-1.408261
465.472748,3.767967,-1.393113
535.318054,3.302485,-1.377038
615.64386,2.896492,-1.357309
708.022766,2.546723,-1.335363
814.263367,2.238285,-1.310633
936.445618,1.97272,-1.28287
1076.961548,1.741265,-1.250538
1238.562378,1.541346,-1.217989
1424.411621,1.368685,-1.178071
1638.148193,1.21891,-1.134751
1883.956421,1.090104,-1.089721
2166.648682,0.979241,-1.041101
2491.759766,0.883329,-0.986765
2865.654541,0.803442,-0.931336
3295.653076,0.733933,-0.871252
3790.173828,0.674717,-0.806497
4358.898926,0.626505,-0.743649
5012.962402,0.583908,-0.678822
5765.169922,0.546734,-0.61193
6630.248047,0.516566,-0.538295
7625.133301,0.489857,-0.467448
8769.303711,0.470986,-0.3983
10085.15918,0.453227,-0.32837
11598.461914,0.438522,-0.25077
13338.84082,0.431074,-0.177007
15340.366211,0.422208,-0.100745
17642.226562,0.419043,-0.02618
20289.486328,0.413877,0.050254
23333.974609,0.416356,0.135593
26835.294922,0.42,0.215822
30861.998047,0.428632,0.302381
35492.917969,0.442881,0.389103
40818.71875,0.460374,0.476498
46943.667969,0.481926,0.568251
53987.679688,0.510944,0.661238
62088.664062,0.547673,0.742588
71405.226562,0.595571,0.826316
82119.757812,0.655445,0.907999
94442.03125,0.723058,0.989506
108613.289062,0.811313,1.054252
124910.984375,0.907299,1.115183
143654.1875,1.025892,1.173349
165209.859375,1.170354,1.222975
190000,1.34292,1.264174
