10000,3299.504395,-1.563199
10619.327148,3103.257568,-1.562872
11277.011719,2917.72168,-1.562709
11975.427734,2742.968018,-1.562284
12717.098633,2579.026367,-1.561957
13504.704102,2423.977295,-1.561551
14341.086914,2277.844238,-1.56126
15229.269531,2140.272705,-1.560755
16172.460938,2010.283081,-1.560299
17174.064453,1888.168457,-1.559893
18237.703125,1772.331421,-1.5594
19367.212891,1663.079102,-1.558778
20566.677734,1559.699707,-1.558165
21840.429688,1462.140503,-1.557535
23193.066406,1370.117798,-1.556791
24629.476562,1282.982544,-1.555948
26154.847656,1200.640503,-1.555252
27774.689453,1122.821777,-1.554037
29494.851562,1048.990479,-1.553065
31321.548828,978.921204,-1.551948
33261.378906,912.643738,-1.550562
35321.347656,849.589539,-1.549209
37508.894531,789.772888,-1.547598
39831.921875,732.605652,-1.545996
42298.824219,678.293396,-1.543802
44918.507812,626.507751,-1.541604
47700.433594,576.976807,-1.538912
50654.652344,529.537109,-1.535851
53791.832031,484.056091,-1.532436
57123.308594,440.292084,-1.528466
60661.113281,398.189819,-1.523525
64418.019531,357.507904,-1.517562
68407.609375,318.077118,-1.510391
72644.273438,279.811493,-1.501537
77143.335938,242.565918,-1.489718
81921.03125,206.295883,-1.474126
86994.632812,170.75618,-1.451795
92382.445312,135.911209,-1.418625
98103.945312,101.816597,-1.363349
104179.789062,68.688889,-1.254167
110631.929688,37.971291,-0.959583
117483.671875,22.430288,0.131122
124759.757812,43.391762,1.020099
132486.46875,74.872475,1.255657
140691.71875,108.475952,1.350061
149405.140625,143.021133,1.399246
158658.21875,178.339417,1.429711
168484.359375,214.719177,1.450416
178919.046875,252.088242,1.464875
190000,291.002808,1.475645
